htid,htid_old,first_publication,rights,ht_bib_key,description,source,source_bib_num,oclc_num,lccn,title,imprint,rights_date_used,author,bib_fmt,oclc_number_earliest,collection_code,content_provider_code,responsible_entity_code,digitization_agent_code,access_profile_code,rights_reason_code,,pub_place,random
uc2.ark:/13960/t8tb1209f,uc2.ark+=13960=t8tb1209f,1874,pd,7659898,,UC,1490031,2928773,,Other people's money / translated from the French of Émile Gaboriau ; illustrated by Victor Perard.,"Charles Scribner's Sons, 1900, t. p. 1906.",1900,"Gaboriau, Emile, 1832-1873.",BK,15052090,ISRLF,universityofcalifornia,universityofcalifornia,ia,open,bib,,enk,0.2978214535
uc2.ark:/13960/t48p63x78,uc2.ark+=13960=t48p63x78,1874,pd,7923260,,UC,b150662154,51490099,,Uncle John : a novel / G.J. Whyte-Melville ; illus. by S. E. Waller.,"Ward, Lock & Co., [1900?]",1900,"Whyte-Melville, G. J. 1821-1878.",BK,316605329,INRLF,universityofcalifornia,universityofcalifornia,ia,open,add,,enk,0.07688301304
uc2.ark:/13960/t7tm76q79,uc2.ark+=13960=t7tm76q79,1875,pd,7685186,,UC,464443,12124159,,The Spanish cavalier : a story of Seville / by A. L. O. E.,"T. Nelson and Sons, 1900.",1900,"A. L. O. E., 1821-1893.",BK,11815405,ISRLF,universityofcalifornia,universityofcalifornia,ia,open,add,,nyu,0.1801236209
uc2.ark:/13960/t3610wg0v,uc2.ark+=13960=t3610wg0v,1882,pd,7662136,,UC,1739479,5908281,,"Facing death : or the hero of the Vaughan Pit, a tale of the coal mines / by G. A. Henty.","Hurst & Company, [1900?]",1900,"Henty, G. A. 1832-1902.",BK,828869247,ISRLF,universityofcalifornia,universityofcalifornia,ia,open,bib,,cou,0.5279989097
uc2.ark:/13960/t6g165g4p,uc2.ark+=13960=t6g165g4p,1888,pdus,6159616,,UC,"b146720003,GLAD117828255-B",5419443,,The legacy of Cain : a novel.,"P. F. Collier, [1900?]",1900,"Collins, Wilkie, 1824-1889.",BK,977230695,INRLF,universityofcalifornia,universityofcalifornia,ia,open,bib,,ctu,0.3297268763
uc2.ark:/13960/t24b2xc78,uc2.ark+=13960=t24b2xc78,1899,pd,435735,,UC,97804,1136807,5726,"On the wing of occasions : being the authorized version of certain curious episodes of the late Civil War, including the hitherto suppressed narrative of the kidnapping of President Lincoln / by Joel Chandler Harris.","Doubleday, Page & Co., 1900.",1900,"Harris, Joel Chandler, 1848-1908.",BK,9192491,ISRLF,universityofcalifornia,universityofcalifornia,ia,open,bib,,xx ,0.3472981294
uc2.ark:/13960/t28915p29,uc2.ark+=13960=t28915p29,1824,pd,7104627,v.2,UC,1396631,334665,1026953,Wilhelm Meister's apprenticeship / by J.W. von Goethe; tr. byThomas Carlyle ; edited by Nathan Haskell Dole.,"F. A. Niccolls, c1901.",1901,"Goethe, Johann Wolfgang von, 1749-1832.",BK,2533996,ISRLF,universityofcalifornia,universityofcalifornia,ia,open,bib,,nyu,0.8698513568
uc2.ark:/13960/t2z31qs89,uc2.ark+=13960=t2z31qs89,1828,pdus,6130860,v.2,UC,81940,2320939,1031847,"Tarry thou till I come; or Salathiel, the wandering Jew; by George Croly; introductory letter by Gen. Lewis Wallace: with twenty full-page drawings by T. de Thulstrup.","Funk & Wagnalls Company, 1901.",1901,"Croly, George, 1780-1860.",BK,3300384,ISRLF,universityofcalifornia,universityofcalifornia,ia,open,bib,,nyu,0.1045363937
uc2.ark:/13960/fk7sn01j2b,uc2.ark+=13960=fk7sn01j2b,1885,pd,11715946,,UC,b150660157,5663547,,Driven back to Eden.,"International association of newspapers and authors, 1901.",1901,"Roe, Edward Payson, 1838-1888.",BK,67839229,INRLF,universityofcalifornia,universityofcalifornia,ia,open,bib,,gau,0.04272984745
uc2.ark:/13960/t3fx7br51,uc2.ark+=13960=t3fx7br51,1900,pdus,472363,,UC,b121087207,8392361,,The lady of Lynn / by Walter Besant ; with twelve illustrations by G. Demain-Hammond.,"Chatto & Windus, 1901.",1901,"Besant, Walter, 1836-1901.",BK,4288310,INRLF,universityofcalifornia,universityofcalifornia,ia,open,bib,,mau,0.1979025665
nc01.ark:/13960/t7hq4034d,nc01.ark+=13960=t7hq4034d,1900,pd,7655746,,UNC,b1926881,10172198,,The house behind the cedars / by Charles W. Chesnutt.,"Houghton, Mifflin, 1901.",1901,"Chesnutt, Charles W. 1858-1932.",BK,10172198,IUNC,unc,unc,ia,open,bib,,pau,0.6568062976
uc2.ark:/13960/t5w66fk12,uc2.ark+=13960=t5w66fk12,1901,pdus,1355845,,UC,720014,4043809,,"Shri Rama Chandra, the ideal king; some lessons from the Ramayana for the use of Hindu students in the schools of India. From notes of lectures originally delivered at the Central Hindu College, Benares.","Theosophical Publishing Society, 1901.",1901,"Besant, Annie, 1847-1933.",BK,4043809,ISRLF,universityofcalifornia,universityofcalifornia,ia,open,bib,,nyu,0.5137201548
loc.ark:/13960/t0zp4jq3c,loc.ark+=13960=t0zp4jq3c,1832,pd,9600727,,LOC,7396195,7303925,44011039,"The Alhambra,","Ginn & company, 1902.",1902,"Irving, Washington, 1783-1859.",BK,276433,ILOC,loc,loc,ia,open,bib,,nyu,0.4924801135
uc2.ark:/13960/t9668mk66,uc2.ark+=13960=t9668mk66,1866,pd,7707100,v.10,UC,4883067,1914098,,The works of Louise Mühlbach in eighteen volumes / Louise Mühlbach [i.e. K. M. Mundt] ; fronts. in color from paintings by Walter H. Everett.,"P. F. Collier, 1902 [c1864-1893]",1902,"Mühlbach, L. 1814-1873.",BK,1914098,ISRLF,universityofcalifornia,universityofcalifornia,ia,open,bib,,nyu,0.5918897407
uc2.ark:/13960/t39024h9w,uc2.ark+=13960=t39024h9w,1889,pd,7685179,,UC,464395,12084047,,Harold's bride : a tale / by A.L.O.E.,"T. Nelson and Sons, 1902.",1902,"A. L. O. E., 1821-1893.",BK,829181852,ISRLF,universityofcalifornia,universityofcalifornia,ia,open,add,,nyu,0.7802282083
uc2.ark:/13960/t43r0z87z,uc2.ark+=13960=t43r0z87z,1890,pdus,7700977,,UC,2168798,10906280,2029624,"Pierre and Jean; tr. from the French of Guy de Maupassant by Clara Bell, with a critical introduction by the Earl of Crewe ...","D. Appleton & Co., [c1902]",1902,"Maupassant, Guy de, 1850-1893.",BK,5108904,ISRLF,universityofcalifornia,universityofcalifornia,ia,open,bib,,nyu,0.727738836
uc2.ark:/13960/t0zp3w43h,uc2.ark+=13960=t0zp3w43h,1896,pd,7673999,,UC,3240176,3177223,,Frank Merriwell's chums / by Burt L. Standish [i.e. G. Patten],"D. McKay, 1902.",1902,"Standish, Burt L., 1866-1945.",BK,29368286,ISRLF,universityofcalifornia,universityofcalifornia,ia,open,bib,,inu,0.6863459889
uc2.ark:/13960/t9s17v80b,uc2.ark+=13960=t9s17v80b,1900,pd,435717,,UC,"b100865434,GLAD17165543-B",1000364,2009441,"The making of a statesman, and other stories, by Joel Chandler Harris.","McClure, Phillips & co., 1902.",1902,"Harris, Joel Chandler, 1848-1908.",BK,1000364,INRLF,universityofcalifornia,universityofcalifornia,ia,open,bib,,nyu,0.3238189661
uc2.ark:/13960/t5x63pc6v,uc2.ark+=13960=t5x63pc6v,1485,pdus,6147682,v.1,UC,"b121126018,GLAD300650-B",4893315,,Le morte Darthur: Sir Thomas Malory's book of King Arthur and of his noble knights of the Round table.,"Macmillan and co., limited; /The Macmillan company, 1903.",1903,"Malory, Thomas, Sir, 15th cent.",BK,1224688426,INRLF,universityofcalifornia,universityofcalifornia,ia,open,bib,,mau,0.9068966527
uc2.ark:/13960/t6834004d,uc2.ark+=13960=t6834004d,1857,pd,6156292,,UC,"b138597236,GLAD67446311-B",4450417,,Guy Livingstone / by G. A. Lawrence ; with an introduction by E. A. Baker.,"G. Routledge ; Dutton, 1903.",1903,"Lawrence, George A. 1827-1876.",BK,6568920,INRLF,universityofcalifornia,universityofcalifornia,ia,open,add,,nyu,0.8839013732
uc2.ark:/13960/t9j38s216,uc2.ark+=13960=t9j38s216,1864,pdus,7693729,,UC,3583608,697196506,,"The Brookes of Bridlemere, by G.J. Whyte-Melville ...","Ward, Lock, & Co., Limited, [1903]",1903,"Whyte-Melville, G. J. 1821-1878.",BK,3464622,ISRLF,universityofcalifornia,universityofcalifornia,ia,open,bib,,nyu,0.2692079826
uc2.ark:/13960/t3vt1h25j,uc2.ark+=13960=t3vt1h25j,1893,pdus,7683255,,UC,4124344,6010337,,"A golden wedding, and other tales, by Ruth McEnery Stuart.","Harper & brothers, 1893.",1903,"Stuart, Ruth McEnery, 1856-1917.",BK,1322261253,ISRLF,universityofcalifornia,universityofcalifornia,ia,open,bib,,xxk,0.6725155224
uc2.ark:/13960/t8kd1r55j,uc2.ark+=13960=t8kd1r55j,1895,pdus,7651605,,UC,527821,906222,,"Patience Sparhawk and her times; a novel, by Gertrude Atherton.","R. F. Fenno, 1903 [c1897]",1903,"Atherton, Gertrude Franklin Horn, 1857-1948.",BK,11752117,ISRLF,universityofcalifornia,universityofcalifornia,ia,open,bib,,pau,0.7258425004
uc2.ark:/13960/t3416t83f,uc2.ark+=13960=t3416t83f,1898,pdus,484759,,UC,9560791069890,603850,3029618,"The lion and the unicorn, by Richard Harding Davis; illustrated by Howard Chandler Christy.","C. Scribner's sons, 1903.",1903,"Davis, Richard Harding, 1864-1916.",BK,635434,ISRLF,universityofcalifornia,universityofcalifornia,ia,open,bib,,mau,0.6000627169
uc2.ark:/13960/t4zg6j48z,uc2.ark+=13960=t4zg6j48z,1832,pd,7687446,v.05,UC,1237473,11823989,,"The works of Benjamin Disraeli, earl of Beaconsfield : embracing novels, romances, plays, poems, biography, short stories and great speeches / with a critical introduction by Edmund Gosse ... and a biographical preface by Robert Arnot.","M. Walter Dunne, c1904.",1904,"Disraeli, Benjamin, Earl of Beaconsfield, 1804-1881.",BK,474918,ISRLF,universityofcalifornia,universityofcalifornia,ia,open,add,,xx ,0.8318593935
uc2.ark:/13960/t01z43z02,uc2.ark+=13960=t01z43z02,1894,pd,6608315,,UC,"b121116372,GLAD299472-B",3102609,,"In furthest Ind : the narrative of Mr. Edward Carlyon of the Honourable East India Company's service / ed. with a few explanatory notes by Sydney C. Grier [i.e., H. C. Gregg].","W. Blackwood, 1904.",1904,"Grier, Sydney C., 1868-1933.",BK,8096704,INRLF,universityofcalifornia,universityofcalifornia,ia,open,add,,nyu,0.791414823
uc2.ark:/13960/t9d50gq5b,uc2.ark+=13960=t9d50gq5b,1903,pd,7649618,,UC,2980683233121,5431467,4009459,The close of the day / by Frank H. Spearman.,"D. Appleton, 1904, c1903.",1904,"Spearman, Frank H. 1859-1937.",BK,5431467,ISRLF,universityofcalifornia,universityofcalifornia,ia,open,bib,,enk,0.6596305794
uc2.ark:/13960/t3hx1634q,uc2.ark+=13960=t3hx1634q,1904,pd,320894,,UC,1881502,1127512,4028952,"Comrades in arms; a tale of two hemispheres, by General Charles King ... illustrations by George Gibbs and E. W. Deming.","The Hobart Company, 1904.",1904,"King, Charles, 1844-1933.",BK,1127512,ISRLF,universityofcalifornia,universityofcalifornia,ia,open,bib,,mau,0.6154556929
uc2.ark:/13960/t8pc2vp02,uc2.ark+=13960=t8pc2vp02,1904,pdus,560673,,UC,"b121380427,GLAD337590-B",1901820,4031055,Red hunters and the animal people / by Charles A. Eastman (Ohiyesa) ...,"Harper & Brothers, 1904.",1904,"Eastman, Charles Alexander, 1858-1939.",BK,1901820,INRLF,universityofcalifornia,universityofcalifornia,ia,open,bib,,ilu,0.2083116005
uc2.ark:/13960/t3bz6218s,uc2.ark+=13960=t3bz6218s,1904,pd,5853319,,UC,4624738,5106231,5009159,Among the Indians of Alaska.,"Headley brothers, 1904.",1904,"Replogle, Charles.",BK,5106231,ISRLF,universityofcalifornia,universityofcalifornia,ia,open,add,,enk,0.729260407
uc2.ark:/13960/t6n012t09,uc2.ark+=13960=t6n012t09,1904,pd,6511959,,UC,"b124901803,GLAD17173632-B",1160766,5030267,Tales of the road / by Charles N. Crewdson ; illustrated by J.J. Gould.,"Thompson & Thomas, 1905.",1905,"Crewdson, Charles N. 1870-",BK,1160766,INRLF,universityofcalifornia,universityofcalifornia,ia,open,bib,,nyu,0.6890155393
uc2.ark:/13960/t81j97w37,uc2.ark+=13960=t81j97w37,1905,pd,283848,,UC,9786374025900,1107689,5016890,"Iole, by Robert W. Chambers.","D. Appleton & Co., 1905.",1905,"Chambers, Robert W. 1865-1933.",BK,1107689,ISRLF,universityofcalifornia,universityofcalifornia,ia,open,bib,,nyu,0.1930830082
uc2.ark:/13960/t0ns0n446,uc2.ark+=13960=t0ns0n446,1905,pd,320680,,UC,"b146574825,GLAD117805845-B",1214735,5007622,The plum tree / by David Graham Phillips ... ; illustrated by E.M. Ashe.,"The Bobbs-Merrill Company, c1905.",1905,"Phillips, David Graham, 1867-1911.",BK,1214735,INRLF,universityofcalifornia,universityofcalifornia,ia,open,bib,,stk,0.1129575328
uc2.ark:/13960/t79s1t08m,uc2.ark+=13960=t79s1t08m,1905,pdus,437719,,UC,1610069,1020923,5021566,"The fool errant; being the memoirs of Francis-Antony Strelley, esq., citizen of Lucca; ed. by Maurice Hewlett.","The Macmillan company; Macmillan & co., ltd., 1905.",1905,"Hewlett, Maurice, 1861-1923",BK,1020923,ISRLF,universityofcalifornia,universityofcalifornia,ia,open,bib,,enk,0.7779149097
uc2.ark:/13960/fk8cf9jq1k,uc2.ark+=13960=fk8cf9jq1k,1905,pdus,480365,,UC,b104818943,274440,5017981,"Miss Bellard's inspiration; a novel, by W.D. Howells ...","Harper & Brothers, 1905.",1905,"Howells, William Dean, 1837-1920.",BK,274440,INRLF,universityofcalifornia,universityofcalifornia,ia,open,bib,,nyu,0.8038870001
mdp.39015010219627,mdp.39015010219627,1905,pdus,628870,,MIU,9.90006E+17,288568,5017288,The game / by Jack London ... ; with illustrations and decorations by Henry Hutt and T.C. Lawrence.,"The Macmillan Company ; Macmillan & Co., Ltd., 1905",1905,"London, Jack, 1876-1916.",BK,288568,MIU,umich,umich,lit-dlps-dc,open,bib,,mau,0.008506434001
uc2.ark:/13960/t2t43sm59,uc2.ark+=13960=t2t43sm59,1878,pd,7919732,,UC,b138617521,10047643,,The story of a cat; tr. from the French of Émile de La Bédollierre by T. B. Aldrich.  With many designs in silhouette by Hopkins.,"Houghton, Mifflin and Company [c1906]",1906,"La Bédollière, Emile de, 1812-1883.",BK,57263194,INRLF,universityofcalifornia,universityofcalifornia,ia,open,bib,,enk,0.4436599647
uc2.ark:/13960/t81j99z0h,uc2.ark+=13960=t81j99z0h,1886,pd,7679917,,UC,4048574,10613569,,"One of Cleopatra's nights, and other fantastic romances, by Théophile Gautier (tr. by Lafcadio Hearn)","Brentano's, 1906 [c1899]",1906,"Gautier, Théophile, 1811-1872.",BK,10326044,ISRLF,universityofcalifornia,universityofcalifornia,ia,open,bib,,pau,0.8440652434
uc2.ark:/13960/t70v8ck30,uc2.ark+=13960=t70v8ck30,1901,pd,7665543,,UC,2174218,3626242,6016648,"Truth Dexter, by Sidney McCall [pseud.]","Little, Brown, 1906.",1906,"McCall, Sidney.",BK,2393516,ISRLF,universityofcalifornia,universityofcalifornia,ia,open,bib,,mau,0.1266763355
uc2.ark:/13960/t02z1304m,uc2.ark+=13960=t02z1304m,1905,pd,7684115,,UC,5172225,944797,6012133,"A little sister of destiny,","Houghton, Mifflin & company, 1906.",1906,"Burgess, Gelett, 1866-1951.",BK,944797,ISRLF,universityofcalifornia,universityofcalifornia,ia,open,bib,,nyu,0.6340933216
uc2.ark:/13960/t87h1g31b,uc2.ark+=13960=t87h1g31b,1906,pd,123288,,UC,b138651280,2117332,06010313//r21,"Old Washington, by Harriet Prescott Spofford ... with a frontispiece from a drawing by George Alfred Williams.","Little, Brown, and Company, 1906.",1906,"Spofford, Harriet Elizabeth Prescott, 1835-1921.",BK,2117332,INRLF,universityofcalifornia,universityofcalifornia,ia,open,bib,,xx ,0.8662354538
uc2.ark:/13960/fk0sq8qf17,uc2.ark+=13960=fk0sq8qf17,1906,pdus,325933,,UC,"b146602717,GLAD117810618-B",505690,06018354//r31,Vanity square : a story of Fifth Avenue life / by Edgar Saltus.,"J.B. Lippincott Company, 1906.",1906,"Saltus, Edgar, 1855-1921.",BK,505690,INRLF,universityofcalifornia,universityofcalifornia,ia,open,bib,,enk,0.5971241038
uc2.ark:/13960/t16m34x6x,uc2.ark+=13960=t16m34x6x,1893,pd,6553899,,UC,"b121453856,GLAD348180-B",2353466,7030474,"The country school, by Clifton Johnson; with illustrations by the author.",T. Y. Crowell & Co. [1907],1907,"Johnson, Clifton, 1865-1940.",BK,1251002,INRLF,universityofcalifornia,universityofcalifornia,ia,open,bib,,nyu,0.9337405448
uc2.ark:/13960/t3805071m,uc2.ark+=13960=t3805071m,1904,pd,7666198,,UC,2254179,320093189,,The grafters / by Francis Lynde ; illustrated by Arthur I. Keller.,"A. Wessels Co., 1907.",1907,"Lynde, Francis, 1856-1930.",BK,2509884,ISRLF,universityofcalifornia,universityofcalifornia,ia,open,bib,,mau,0.6016311299
uc2.ark:/13960/t9b56g18g,uc2.ark+=13960=t9b56g18g,1904,pd,7676126,,UC,3531723,7029619,,Terence O'Rourke : gentleman adventurer / by Louis Joseph Vance.,"Bobbs-Merrill, 1907.",1907,"Vance, Louis Joseph, 1879-1933.",BK,5067392,ISRLF,universityofcalifornia,universityofcalifornia,ia,open,bib,,nyu,0.8260877731
uc2.ark:/13960/t2q52fh5v,uc2.ark+=13960=t2q52fh5v,1905,pd,7667454,,UC,2356793,2778734,7004162,"The white darkness, and other stories of the great Northwest, by Lawrence Mott ... illustrated by Frank E. Schoonover and Cyrus Cuneo.","The Outing Publishing Company, 1907.",1907,"Mott, Lawrence, 1881-1931.",BK,2778734,ISRLF,universityofcalifornia,universityofcalifornia,ia,open,bib,,nyu,0.8016195668
uc2.ark:/13960/t6b27s285,uc2.ark+=13960=t6b27s285,1907,pd,285102,,UC,4033571,3366793,,Alice-for-short / by William De Morgan.,"Grosset & Dunlap, 1907.",1907,"De Morgan, William Frend, 1829-1917.",BK,3366793,ISRLF,universityofcalifornia,universityofcalifornia,ia,open,bib,,nyu,0.6798208695
uc2.ark:/13960/t83j3pg80,uc2.ark+=13960=t83j3pg80,1907,pd,449471,,UC,1610086,2359966,7030839,"The stooping lady, by Maurice Hewlett.","Dodd, Mead and Company, 1907.",1907,"Hewlett, Maurice Henry, 1861-1923.",BK,2359966,ISRLF,universityofcalifornia,universityofcalifornia,ia,open,bib,,pau,0.974348581
mdp.39015078566745,mdp.39015078566745,1726,pdus,1424294,v.1,MIU,9.90014E+17,67414499,,"Travels into several remote nations of the world by Lemuel Gulliver, first a surgeon, and then a captain of several ships ... by Dean Swift.","Greening & co., ltd., 1908.",1908,"Swift, Jonathan, 1667-1745.",BK,123230257,MIU,umich,umich,lit-dlps-dc,open,bib,,ilu,0.05457372991
