author,title,imprint,nationality,inferreddate,htid
"Dusinberre, William, 1930-","Henry Adams, the myth of failure / by William Dusinberre.","University Press of Virginia, [1980]",vau,1980,mdp.39076006180629
"Hardy, Thomas,",Far from the madding crowd / | $c: Thomas Hardy.,New York|Doubleday|1998.,nyu,1874,mdp.39015045678250
"Forrester, Charles Robert",Phantasmagoria of fun,London;R. Bentley;1843.,uk,1843,nyp.33433074931597
"Besant, Walter, 1836-1901.",The lady of Lynn / by Walter Besant ; with twelve illustrations by G. Demain-Hammond.,"Chatto & Windus, 1901.",mau,1900,uc2.ark:/13960/t3fx7br51
"Harrison, Frederic, 1831-1923.","Tennyson, Ruskin, Mill and other literary estimates, by Frederic Harrison ....","The Macmillan company; Macmillan & co., ltd., 1900.",nyu,1900,coo1.ark:/13960/t3ws9796v
"Davis, Richard Harding, 1864-1916.","The lion and the unicorn, by Richard Harding Davis; illustrated by Howard Chandler Christy.","C. Scribner's sons, 1903.",mau,1898,uc2.ark:/13960/t3416t83f
"Cullum, Ridgwell",The sheriff of Dyke hole;,Philadelphia;G. W. Jacobs,uk,1909,uva.x030748828
"Beauchamp, Wilbur Lee. 1891-","Instruction in science, by Wilbur L. Beauchamp.","U. S. Govt. Print. Off., 1933.",dcu,1933,uc1.$b59763
"McInerny, Ralph M.",Leave of absence / | $c: Ralph McInerny.,New York|Atheneum|c1986.,nyu,1986,uc1.b4355107
"Hergesheimer, Joseph",Triall by armes,London|E. Mathews & Marro,us,1929,uc1.$b102148
"Clarke, Lindsay.",The chymical wedding / | $c: Lindsay Clarke.,New York|Knopf|Distributed by Random House|1989.,nyu,1989,mdp.39015018335995
"Walker, Alice, 1944-",In search of our mothers' gardens : womanist prose / by Alice Walker,"Harcourt Brace Jovanovich, [1983], ©1983",cau,1983,mdp.39015042984982
,"A strange metamorphosis of man, | transformed into a wildernesse. Deciphered into characters. London, 1634. | $c: Edited with an introd. and notes by Don Cameron Allen.",Baltimore|Johns Hopkins Press|1949.,mdu,1949,mdp.39015026444086
"Wiseman, Mary H.",Full circle / | $c: Mary H. Wiseman.,New York|Vantage Press|c1973.,nyu,1973,mdp.39015012867548
Dowdall,Three loving ladies,Boston and New York;Hough,uk,1921,uc2.ark+=13960=t6n011p3j
"Bowen, Stirling",Wishbone,New York|E. P. Dutton & c,,1930,mdp.39015005672269
"Collins, Wilkie, 1824-1889.",The legacy of Cain : a novel.,"P. F. Collier, [1900?]",ctu,1888,uc2.ark:/13960/t6g165g4p
"Achebe, Chinelo",The last laugh and other stories,Ibadan|Heinemann Educatio,ni,1988,inu.30000000957484
"Deprend, Jeffrey.","The golden poppy; a novel, by Jeffrey Deprend ...","J.W. Wallace & Company, 1920.",ilu,1920,nyp.33433074811104
"Stephens, Robert Neilson","The bright face of danger; being an account of some adventures of Henri de Launay, son of the Sieur de la Tournoire",Boston;L. C. Page & compa,us,1904,nyp.33433076021868
"Goddard, Constance Felicity","Come wind, come weather",London|J. Cape|1945.,uk,1945,umn.31951002102922y
"Anaya, Rudolfo A",Tortuga : a novel,Albuquerque|University of,us,1979,mdp.39015022285798
"Ogg, Frederic Austin, 1878-1951.","Introduction to American government; the national government, by Frederic A. Ogg, and P. Orman Ray.","Century Co., 1923.",nyu,1923,uc1.$b50417
"Meek, Jay.",Earthly purposes / | $c: Jay Meek.,Pittsburgh|Carnegie-Mellon University Press|London|Feffer and Simons|1984.,pau,1984,mdp.39015017639165
"Hurst, Fannie",Lummox,"London|J. Cape, ltd.|1924",us,1924,uc1.$b103181
,Russian and Polish women's fiction,Knoxville|University of T,,1985,mdp.39015012866847
"Lee, Albert",At his country's call,New York;F.H. Revell;c191,,1918,uc2.ark+=13960=t6n011r00
,Fitzgeorge; a novel,Philadelphia;E.L. Carey &,uk,1833,hvd.hnnzn9
"Panferov, Fedor Ivanovich",And then the harvest,London|Putnam|1939,ru,1939,uc1.b4411178
"Bear, Greg",Blood music,New York|Arbor House|c198,us,1985,mdp.39015019395782
"Vaughan, Wayland Farries, 1901-","The lure of superiority; a study in the psychology of motives, by Wayland F. Vaughan.",H. Holt and company [c1928],nyu,1928,mdp.39015002605072
"Zweig, Arnold",Claudia,New York|The Viking press,de,1930,uc1.b3157680
"Stout, Janis P.",Home truth / | $c: Janis Stout.,"New York, N.Y.|Soho Press|c1992.",nyu,1992,uc1.b4369399
,Contemporary topics in developmental psychology / edited by Nancy Eisenberg.,"Wiley, c1987.",nyu,1987,mdp.39015058019210
"Jung, C. G. 1875-1961,","Studies in word-association; experiments in the diagnosis of psychopathological conditions carried out at the Psychiatric clinic of the University of Zurich, under the direction of C. G. Jung. Authorized translation by Dr. M.D. Eder.","Moffat, Yard & company, 1919.",nyu,1919,ien.35556001149038
"Sorokin, Pitirim Aleksandrovich, 1889-1968.",Principles of rural-urban sociology / by Pitirim Sorokin and Carle C. Zimmerman.,"H. Holt and company, [1939]",nyu,1939,mdp.39015007547014
"Abbas, Zainab Ghulam",Folk tales of Pakistan,Karachi|Pakistan Publicat,pk,1957,mdp.39015014538360
"Walpole, Hugh, 1884-1941.","The green mirror; a quiet story, by Hugh Walpole.",Grosset & Dunlap [c1917],nyu,1917,uc2.ark:/13960/t3cz35275
"Hart, Albert Bushnell, 1854-1943","American patriots and statesmen, from Washington to Lincoln, revealed in the letters, addresses, state papers and other writings of Benjamin Franklin, Cotton Mather ... and many others. Ed. by Albert Bushnell Hart.","Printed at the Collier press, 1916]",nyu,1916,hvd.hx4zir
"Morris, Richard Brandon, 1904-",America at 200 : essays / by Richard B. Morris and Henry F. Graff.,"Foreign Policy Association, 1975.",nyu,1975,umn.31951001847547g
"Fairlie, Henry, 1924-1990.",The Kennedy promise : the politics of expectation.,"Doubleday, 1973.",nyu,1973,mdp.39015000249519
"Williams, William Carlos,",The knife of the times : | and other stories.,"Ithaca, N.Y.|The Dragon Press|1932",nyu,1932,uc1.b4082957
"Andersen Nexø, Martin",In God's land,New York|P. Smith|1933.,da,1933,mdp.39015030073806
"Jameson, Storm,",The black laurel.,New York|Macmillan Co.|1948.,nyu,1947,uc1.$b103816
"Kelland, Clarence Budington",The Hidden spring : a novel,New York;Harper;1916].,us,1916,umn.31951002139557e
"Brine, Mary D. (Mary Dow)",The doings of a dear little couple,London|Ernest Nister|New ,,1987,wu.89098012495
"Rivers, Gayle",The five fingers,"Garden City, N.Y.|Doubled",,1978,uc1.32106006704339
"Newcomb, Theodore M. 1903-1984.","The consistency of certain extrovert-introvert behavior patterns in 51 problem boy, by Theodore M. Newcomb.","Teachers college, Columbia university, 1929.",nyu,1929,mdp.39015066015697
"Windelband, W. 1848-1915.","History of ancient philosophy, by Dr. W. Windelband. Authorized translation by Herbert Ernst Cushman.","C. Scribner, 1906 [c1899]",nyu,1906,uiug.30112064585885
"Bloxam, Charles Loudon, 1831-1887.","Chemistry, inorganic and organic, with experiments, by Charles Loudon Bloxam.","P. Blakiston, 1923.",pau,1923,uc1.$b618631
