author,title,imprint,nationality,inferreddate,htid
"Feyrer, Ernest C. b. 1877.","The call of the soul : a scientific explanation of telepathy and psychic phenomena, with specific instructions for developing thought-transference, psychometry, mind-reading, automatic writing, mental broadcasting and other psychic phenomena / by Ernest C. Feyrer.","Auto-Science Institute, [c1926]",cau,1926,uc1.b4081153
,The German classics of the nineteenth and twentieth centuries,Albany;J.B. Lyon;c1913-c1,,1913,uc2.ark+=13960=t8x923k22
"Mavity, Arthur Benton.",Responsible citizenship / by Arthur Benton Mavity and Nancy Barr Mavity.,"Benj. H. Sanborn & Co., 1924.",ilu,1924,hvd.hnqnwb
"Cantor, Nancy.","Personality and social intelligence / Nancy Cantor, John F. Kihlstrom.","Prentice-Hall, c1987.",nju,1987,mdp.39015012117159
"Johnson, Charles (Charles Richard),",The sorcerer's apprentice / | $c: Charles Johnson.,New York|Atheneum|1986.,nyu,1986,uc1.b4975928
"Kukrit Pramoj, M.R",Si phaendin = Four reigns,Bangkok|Duang Kamol|1981],th,1981,uc1.$b534058
"Taylor, Henry Osborn, 1856-1941.","Prophets, poets, and philosophers of the ancient world. by Henry Osborn Taylor ...","The Macmillan company, 1919.",nyu,1919,mdp.39015066075543
"Lederer, William J.,",Sarkhan | $c: [by] William J. Lederer and Eugene Burdick.,New York|McGraw-Hill|1965,nyu,1965,uc1.b4091147
,Contemporary Russian prose / | $c: edited by Carl & Ellendea Proffer.,"Ann Arbor, MI|Ardis Publishers|c1982.",miu,1982,uc1.b4929953
"Valenzuela, Luisa",Bedside manners,London|New York|Serpents ,ar,1994,mdp.39015033964035
"Bates, H. E. (Herbert Ernest)",The stories of Flying Officer 'X',London|J.Cape|1952,uk,1952,mdp.39015051324393
"Boyer, Rick.",The Daisy Ducks : | a Doc Adams suspense novel / | $c: Rick Boyer.,Boston|Houghton Mifflin|c1986.,mau,1986,mdp.39015011095281
"Maugham, Robin",The barrier:,London|New York|W. H. All,uk,1973,mdp.39015013286946
"Nicolay, John G. 1832-1901.",Abraham Lincoln : a history.,The Century co. [c1914],nyu,1914,uc1.31210000571263
"Jennings, Lyle",Chicken trainer,"Santee, Calif.|Surree Ltd",,1976,mdp.39015069746777
Federal Council for Science and Technology (U.S.). Committee on Scientific and Technical Information.,"Progress of the United States Government in scientific & technical communications, 1966.","Distributed by the Clearinghouse for Federal Scientific and Technical Information, U. S. Dept. of Commerce [1967?]",vau,1967,osu.32435009010745
"Miller, Neal E. 1909-2002.","Social learning and imitation, by Neal E. Miller and John Dollard.","Pub. for the Institute of human relations by Yale university press; H. Milford, Oxford university press, 1947, 1941.",ctu,1947,mdp.49015000435173
"Countess of, Blessington, Marguerite","Grace Cassidy; or, The repealers. A novel",London;R. Bently;1834.,ir,1834,hvd.32044058243072
California Academy of Sciences,"Proceedings of the California Academy of Sciences. 3d ser., Zoology.","The Academy, 1897-",cau,1906,uc1.b000301089
"Blum, John Morton, 1921-2011.",The Republican Roosevelt / John Morton Blum.,"Atheneum, 1969, 1954.",nyu,1969,mdp.49015000077314
"Martineau, Harriet",The hour and the man,London;E. Moxon;1841.,uk,1841,uiuo.ark+=13960=t66408j7j
"Joad, C. E. M. 1891-1953.","Liberty to-day,","E. P. Dutton & co., inc. [c1935]",nyu,1935,uc1.b3376625
"Binet, Alfred, 1857-1911.",The development of intelligence in children (the Binet-Simon scale) By Alfred Binet and Th. Simon. Translated by Elizabeth S. Kite.,"Williams & Wilkins, 1916]",mdu,1916,hvd.hc28du
"White, Andrew Dickson, 1832-1918.","A history of the warfare of science with theology in christendom, by Andrew Dickson White ...","D. Appleton & company, 1908.",nyu,1908,mdp.39015039630796
"Callwell, J. M.","Old Irish life, by J.M. Callwell.","W. Blackwood, 1912.",nyu,1912,uc2.ark:/13960/t7cr5q352
"Page, Thomas Nelson, 1853-1922.",Under the crust / by Thomas Nelson Page ; illustrated.,"Charles Scribner's Sons, 1911,c1907.",nyu,1907,uc2.ark:/13960/t7dr2qn5d
"Windelband, W. 1848-1915.","History of ancient philosophy, by Dr. W. Windelband... Authorized translation by Herbert Ernst Cushman ... From the 2d German ed.","C. Scribner's sons, 1901 [c1899]",nyu,1901,coo.31924014602712
United States. Congress. House. Committee on Un-American Activities.,"Testimony of Victor A. Kravchenko : hearings before the Committee on Un-American Activities, House of Representatives, Eightieth Congress, first session, on H.R. 1884 and H.R. 2122, bills to curb or outlaw the Communist Party of the United States, Public law 601 (Section 121, Subsection Q(2)) July 22, 1947.","U.S. Govt. Print. Off., 1947.",dcu,1947,uiug.30112119787601
"Saroyan, William,",The trouble with tigers.,"New York|Harcourt, Brace|c1938",nyu,1938,mdp.39076002946627
"Weingarten, Violet.",Intimations of mortality / by Violet Weingarten.,"Knopf, 1978.",nyu,1978,mdp.39015031307526
"Jackson, Shirley,",Hangsaman.,"New York|Farrar, Straus and Young|1951].",nyu,1951,inu.32000000648032
"Field, Rachel",The yellow shop,"Garden City, N.Y.|Doubled",us,1931,umn.31951000888300t
"Heyliger, William,",Quinby and son / | $c: by William Heyliger.,New York|Appleton|c1925.,nyu,1925,mdp.39076002365158
"Kingman, Lee.",The magic Christmas tree. | $c: Pictures by Bettina [pseud.],New York|Ariel Books|1956,nyu,1956,mdp.39076006235688
"Cecil, David, 1902-1986.","The fine art of reading, and other literary studies.",Bobbs-Merrrill [1957],inu,1957,mdp.39015010224940
"Stanley, William O.",Education and social integration / by William O. Stanley.,"Bureau of Publications, Teachers College, Columbia University, 1953.",nyu,1953,mdp.39015026980618
"Reverzy, Jean,","The crossing,",New York|Pantheon|1956,nyu,1956,uc1.$b395706
"Rand, Winifred.","Growth and development of the young child, by Winifred Rand, Mary E. Sweeny [and] E. Lee Vincent.","Saunders, 1953.",pau,1953,mdp.39015004356674
"Bell, Clive, 1881-1964.","On British freedom, by Clive Bell ...","Harcourt, Brace and company, 1923.",nyu,1923,mdp.39015002731241
,The Cambridge history of American literature / edited by William Peterfield Trent ... [et al.],"G.P. Putnam's Sons ; University Press, 1917-21.",nyu,1921,osu.32435052803061
"A. L. O. E., 1821-1893.",Harold's bride : a tale / by A.L.O.E.,"T. Nelson and Sons, 1902.",nyu,1889,uc2.ark:/13960/t39024h9w
"Cassirer, Ernst, 1874-1945.",The philosophy of symbolic forms; translated by Ralph Manheim. Pref. and introd. by Charles W. Hendel.,"Yale University Press, 1953-57.",ctu,1957,mdp.49015002015544
"Conrad, Joseph, 1857-1924.","The shadow line; a confession, by Joseph Conrad ...","Doubleday, Page & Company, 1917.",ilu,1916,uc2.ark:/13960/t6n01c29h
"Sinanian, John",This nation was not born to perish : a novel of the First World War,New York|Vantage Press|19,us,1969,mdp.39015072819769
"Chelpanov, Georgīĭ Ivanovich, 1862-1936.",Vvedenie v filosofii︠u︡,"V. A. Prosianichenko, [1907].",nyu,1907,nnc2.ark:/13960/t6g176k1c
"Meller, Sidney",Home is here,New York|The Macmillan co,us,1941,uc1.b3143008
"Deighton, Len,","Goodbye, Mickey Mouse / | $c: Len Deighton.",New York|Knopf|Distributed by Random House|1982.,nyu,1982,uc1.32106008517846
"Flower, Elliott",The spoilsmen,Boston;L. C. Page & compa,,1903,nnc1.1000018538
"Goodman, Mary Ellen, 1911-1969.",A primer for parents; educating our children for good human relations.,"Anti-defamation League of B'nai B'rith, 1959]",nyu,1963,mdp.39076005885780
"Sabin, Edwin L. (Edwin Legrand)",The city of the sun,Philadelphia|G. W. Jacobs,us,1924,uc1.$b312438
