author,title,imprint,nationality,inferreddate,htid
"Lerner, Frederick Andrew, 1945-",Modern science fiction and the American literary community / by Frederick Andrew Lerner.,"Scarecrow Press, 1985.",nju,1985,mdp.39015011363309
"Roosevelt, Franklin D. 1882-1945.","Government - not politics, by Franklin D. Roosevelt.",Covici-Friede [c1932],nyu,1932,mdp.39015008716345
"Boas, Ralph Philip, 1887-1945.",Social backgrounds of English literature / by Ralph Philip Boas and Barbara M. Hahn.,"Little, Brown & Co., 1926 [c1923]",mau,1923,mdp.39015016886643
"Pirandello, Luigi",The old and the young (I vecchi e i giovani),New York|E. P. Dutton & c,it,1928,uc1.32106006147778
"Ehrlich, Max",Shaitan : a novel,New York|Arbor House|c198,us,1981,uc1.b4451814
"Just, Ward S",Nicholson at large : a novel,"Boston|Little, Brown|1975",us,1975,mdp.39015030699642
"Hall, Clifton Rumery, 1884-","Andrew Johnson, military governor of Tennessee / by Clifton R. Hall.","Princeton University Press, 1916.",nju,1916,njp.32101075987139
"Hoover, Bessie Ray",Rolling acres,"Boston;Small, Maynard & c",,1922,mdp.39015071555471
"Martyn, Wyndham",All the world to nothing,"Boston;Little, Brown, and",uk,1912,uc2.ark+=13960=t21c1w684
"Rogers, Robert L",Tom Johnson,New York;F. T. Neely;c190,,1903,uc2.ark+=13960=t2z31nv6d
"Pemberton, Henry, 1826-1911.","The path of evolution through ancient thought and modern science, by Henry Pemberton ...",H. Altemus company [1902],pau,1902,hvd.32044086951621
"Hichens, Robert Smythe,",The power to kill,"Garden City, N.Y.|Doubleday, Doran & Co.|1936[1934",nyu,1934,uc1.b3872973
"Bridges, Thomas Charles, 1868-","Kings of commerce, by T.C. Bridges and H. Hessell Tiltman ... with twenty-nine illustrations in half-tone.",Crowell [1928],nyu,1928,wu.89094686110
"Ehrenwald, Jan, 1900-1988",Telepathy and medical psychology.,Norton [c1948],nyu,1948,uc1.32106010583091
"Gallwey, Mary Osborn, 1930-",A study of decision time in children.,1958,nyu,1958,coo.31924003554841
"Flavin, Martin,","Corporal cat, | the story of a German parachute soldier, | $c: by Martin Flavin",New York|and London|Harper & brothers|c1941,nyu,1941,uc1.$b104462
"Pearce, Joseph Chilton.",Magical child : rediscovering nature's plan for our children / Joseph Chilton Pearce.,"Bantam, 1980, c1977.",nyu,1980,mdp.39015035323925
"Seward, Barbara, 1928-1958.",The symbolic rose.,"Columbia University Press, 1960 [c1954]",nyu,1960,mdp.39015021942530
"Britt, Steuart Henderson, 1907-1979.",Social psychology of modern life.,Rinehart [1950],nyu,1950,mdp.39015022397809
"Bivins, Viola Cobb.",Echoes of the Confederacy.,"Mrs. J. K. Bivins, [1950]",txu,1950,umn.319510019569066
"Trollope, Anthony",Castle Richmond : a novel,New York;Harper;1860.,uk,1860,njp.32101067178937
"Schurz, Carl, 1829-1906.","Speeches, correspondence and political papers of Carl Schurz; selected and ed. by Frederic Bancroft on behalf of the Carl Schurz Memorial Committee ...","G.P. Putnam's Sons, 1913.",nyu,1913,coo1.ark:/13960/t0tq6h22t
"Dickson, Gordon R.",In iron years / | $c: Gordon R. Dickson.,"Garden City, N.Y.|Doubleday|1980.",nyu,1980,mdp.39015002661174
"Butler, William",Cire perdue,London|P. Owen|1965,,1965,uc1.b3728085
"Mason, Franklin.",Four roses in three acts / | $c: by Franklin Mason.,New York|Fiction Collective|1981.,nyu,1981,uc1.b4463661
"Marlow, Louis, 1881-1966.",A chaste man / Louis Wilkinson.,"Knopf, 1920, c1917.",nyu,1917,uc2.ark:/13960/t4hm54d91
