author,title,imprint,nationality,inferreddate,htid
"Brittain, Alfred","Women of early Christianity / by Alfred Brittain and Mitchell Carroll ; with an introd. by J. Cullen Ayre, Jr","Rittenhouse Press, 1907- 1908",nyu,1976,uc1.31970004346208
"Farris, John",The fury :,Chicago|Playboy Press|c19,us,1976,inu.30000114172426
"Frame, Janet","Scented gardens for the blind, a novel",New York|G. Braziller|196,nz,1964,mdp.39015003676734
"Komorita, Samuel S.","Social dilemmas / Samuel S. Komorita, Craig D. Parks.","Brown & Benchmark, c1994.",wiu,1994,mdp.39015051513375
"Mauriac, FranÃ§ois",A kiss for the leper =Le baiser au lÃ©preux ; [Genetrix],London|Eyre & Spottiswood,fr,1950,mdp.39015066648810
"White, William A. 1870-1937","Outlines of psychiatry, by William A. White.","The Journal of nervous and mental disease publishing company, 1911.",nyu,1911,chi.55570964
"Langbaum, Robert Woodrow, 1924-",The word from below : essays on modern literature and culture / Robert Langbaum.,"University of Wisconsin Press, 1987.",wiu,1987,mdp.39015016925938
"Collier, John,",The John Collier reader.,New York|Knopf|1972.,nyu,1972,mdp.39015025040398
"Aly, Bower, 1903-","Unicameral legislatures : the eleventh annual debate handbook, 1937-1938 / edited by Bower Aly.","Lucas Bros., 1937.",mou,1937,wu.89101006120
"Sangster, Margaret Elizabeth Munson, 1838-1912.",From my youth up : personal reminiscences / by Margaret E. Sangster.,"F.H. Revell, c1909.",nyu,1909,pst.000057671628
"Kamp, Joseph P. 1900-","The hell with G. I. Joe! Bureaucratic regimentation vs. constitutional government, by Joseph P. Kamp. with the views of W. Lee O'Daniel, Paul McNutt, Albert Jay Nock, Francis Biddle [and] John Edgar Hoover.","Constitutional educational league, 1944]",nyu,1944,osu.32435010823755
"Reynolds, Matthew",Designs for a happy home,London|New York|Bloomsbur,,2009,mdp.39015080862744
"Walsh, Roger N.",Staying alive : the psychology of human survival / Roger Walsh ; [forewords by Dalai Lama and Linus Pauling].,"New Science Library ; Distributed in the United States by Random House, 1984.",cou,1984,mdp.39015015275483
"Cable, George Washington",Strange true stories of Louisiana,New York;C. Scribner's so,us,1889,mdp.39015005354504
Pennsylvania Energy Office.,"Pennsylvania elementary energy and environment science activities, level III.","The Office, 1991.",xxu,1991,pst.000020485627
"Evans, Jean, 1912-",Three men; an experiment in the biography of emotion. Introd. by Gordon W. Allport.,"Knopf, 1954.",nyu,1954,mdp.39015001988040
United States. President (1933-1945 : Roosevelt),First plan on government reorganization.,"[U. S. Govt. print. off], [1939]",dcu,1939,umn.319510025686648
"Mannin, Ethel",Late have I loved thee,New York|G. P. Putnam|194,uk,1948,uc1.$b101743
"Putnam, James Jackson, 1846-1918.","Human motives, by James Jackson Putnam ...","Little, Brown, and Company, 1915.",mau,1915,coo1.ark:/13960/t75t46h65
"Estes, Winston M.,",Andy Jessup : | a novel / | $c: Winston M. Estes.,Philadelphia|Lippincott|1975,pau,1975,mdp.39015048706066
"Gadamer, Hans-Georg, 1900-2002.",The beginning of philosophy / Hans-Georg Gadamer ; translated by Rod Coltman.,"Continuum, c1998.",nyu,1998,mdp.39015041990626
"Rust, Eric Charles.","Evolutionary philosophies and contemporary theology, by Eric C. Rust.",Westminster Press [1969],pau,1969,uc1.b3953413
"Yalcin, Hakan.",Hierarchical timing analysis of digital circuits.,1997,miu,1997,mdp.39015041233050
"Heinlein, Robert A. (Robert Anson),",Double star / | $c: Robert A. Heinlein ; with a new introd. by Joe Haldeman.,"Boston|Gregg Press|1978, c1956.",mau,1956,mdp.39015062108892
"Flynn, John T. 1882-1964.",The decline of the American Republic and how to rebuild it.,"Devin-Adair, 1955.",nyu,1955,mdp.39015022688165
"Stroud, Kandy.",How Jimmy won : the victory campaign from Plains to the White House / by Kandy Stroud.,"Morrow, 1977.",nyu,1977,mdp.39015054019511
"BaragohÄÃ±i, NirupamÄ",Abhiyatri = One life many rivers,New Delhi|Sahitya Akademi,,1999,mdp.39015043067647
"Selby, John",The days dividing,New York|Putnam|1958,us,1958,uc1.$b105597
"Hubbard, Elizabeth Vernon, Mrs.","Your children at school, how they adjust and develop ... [by] Elizabeth Vernon Hubbard; introduction by Hughes Mearns.",The John Day Company [1942],nyu,1942,mdp.39015074149587
"Mackay, Charles, 1814-1889","Extraordinary popular delusions and the madness of crowds / [by Charles Mackay] and Confusión de confusiones / [by Josef Penso de la Vega] ; Martin S. Fridson, editor","J. Wiley & Sons, 1996",nyu,1996,uc1.32106012066590
"Stallman, R. W. 1911-1982.","The houses that James built, and other literary studies.","Michigan State University Press, 1961.",miu,1961,mdp.39015003859702
"Price, Derek J. de Solla 1922-1983.",Science since Babylon.,"Yale University Press, 1961.",ctu,1961,mdp.39015023148045
"Croly, George, 1780-1860.","Tarry thou till I come; or Salathiel, the wandering Jew; by George Croly; introductory letter by Gen. Lewis Wallace: with twenty full-page drawings by T. de Thulstrup.","Funk & Wagnalls Company, 1901.",nyu,1828,uc2.ark:/13960/t2z31qs89
"Goddard, Taegan D.",You won--now what? : how Americans can make democracy work from city hall to the White House / Taegan D. Goddard and Christopher Riback.,"Scribner, c1998.",nyu,1998,mdp.39015040145933
"Thorpe, Francis Newton, 1857-1926.","The government of the nation. A course in civil government, based on ""The government of the people of the United States."" By Francis Newton Thorpe ...","Eldredge & brother, 1900.",pau,1900,mdp.39015062338051
"Coover, Robert.",John's wife : | a novel / | $c: Robert Coover.,New York|Simon & Schuster|c1996.,nyu,1996,mdp.39015037409391
"Bischoff, Ilse",Drive slowly--six dogs;,New York|Viking Press|195,,1953,uc1.$b34045
"Baker, Emily Veronica.","Children's questions and their implications for planning the curriculum,","Teachers college, Columbia university [1945]",nyu,1945,mdp.39015074160550
"Elson, Henry W. 1857-1935.",The story of the Old world / by Henry W. Elson and Cornelia E. MacMullan.,"[s.n.], 1915.",nyu,1915,hvd.hn3luz
"Okpewho, Isidore.",The victims; | a novel of polygamy in modern Africa. | $c: With an introd. by Sunday O. Anozie.,"Garden City, N.Y.|Anchor Books|1971.",nyu,1971,mdp.39015000550668
"Woodburn, James Albert, 1856-1943",The citizen and the republic : a text-book in government / by James Albert Woodburn and Thomas Francis Moran.,"Longmans, Green and Co., 1919.",nyu,1919,hvd.32044097050405
"Noble, Edward.","Outposts of the fleet; stories of the merchant service in war and peace, by Edward Noble.","Houghton Mifflin company, 1917.",ilu,1917,mdp.39015063936622
"Conrad, Joseph,",Complete works / | $c: Joseph Conrad.,"Garden City, N.Y.|Doubleday, Page & Co.|1925.",nyu,1921,inu.32000009261480
"Lovesey, Peter.",Keystone / | $c: Peter Lovesey.,New York|Pantheon Books|c1983.,nyu,1983,mdp.39015063100369
"Fraiberg, Louis, 1913-1994.",Psychoanalysis & American literary criticism.,"Wayne State University Press, 1960.",ilu,1960,mdp.39015000592298
"Manning-Sanders, George.","The third day, | $c: by George Manning-Sanders.",New York|H. Liveright|1930.,nyu,1930,mdp.39015059414972
"Barklem, Jill",The secret staircase,"New York|Atheneum Books, ",uk ,1983,pst.000046236876
"Martin, Helen Reimensnyder, 1868-1939.","Tillie, a Mennonite maid : a story of the Pennsylvania Dutch / By Helen Reimensnyder Martin ; with illustrations by Florence Scovel Shinn.","Grosset and Dunlap, 1908, c1904.",pau,1904,uc2.ark:/13960/t5bc3v683
"Tolstoy, Leo, graf,","The living thoughts of Tolstoi, | $c: presented by Stefan Zweig.","New York|Toronto|Longmans, Green and Co.|1939.",nyu,1939,uc1.$b320504
"Waltari, Mika,","The Roman; | the memoirs of Minutus Lausus Manilianus, who has won the insignia of a triumph, who has the rank of Consul, who is chairman of the Priests' Collegium of the God Vespasian and a member of the Roman Senate | $c: [by] Mika Waltari. English version by Joan Tate.",New York|G. P. Putnam's Sons|1966,nyu,1966,uc1.b3460490
