author,title,imprint,nationality,date,htid
"Adler, Warren",The Henderson equation,New York|Putnam|c1976.,us,1976,inu.30000114306446
"Pfiffner, John M. 1893-1968.",Public administration [by] John M. Pfiffner [and] Robert Presthus. -,"Ronald Press Co., [1967]",nyu,1967,mdp.39015050679086
,"The Golden Lotus; a translation, from the Chinese original, of the novel Chin Pʻing Mei",London|Routledge & K. Pau,,1972,mdp.39015046835966
"Gombrowicz, Witold","Possessed, or, The secret of Myslotch",London|Boston|M. Boyars|1,po,1980,mdp.39015001044968
,A book of Kashmiri short stories,Srinagar (J.K.)|PEN Produ,,1997,uc1.b4557361
"Sappenfield, Bert Reese, 1912-",Personality dynamics. an integrative psychology of adjustment.,"Knopf, 1954.",nyu,1954,mdp.39015002394131
"Gillmore, Robert, 1946-",Liberalism & the politics of plunder : the conscience of a neo- liberal / by Robert Gillmore.,"W.L. Bauhan, 1987.",nhu,1987,wu.89058253485
"LeShan, Lawrence L., 1920-",Einstein's space and Van Gogh's sky : physical reality and beyond / by Lawrence LeShan and Henry Margenau.,"Collier Books, 1983.",nyu,1983,uva.x000818798
"Dreiser, Theodore",The Titan,New York;John Lane Co.;Lo,us,1914,nyp.33433074851886
"Pohl, Frederik",Demon in the skull,New York|DAW Books|1984|(,us,1984,mdp.39015013501922
"Beloff, Max, 1913-1999.",The American Federal Government.,"Oxford University Press, 1959.",nyu,1959,mdp.39015030801669
"Gross, Hans, 1847-1915.","Criminal psychology : a manual for judges, practitioners, and students / by Hans Gross ; translated from the 4th German edition by Horace M. Kallen ; with an introduction by Joseph Jastrow.","Little, Brown, 1911.",mau,1911,coo1.ark:/13960/t64468991
"Krabbe, H. 1857-1936.",The modern idea of the state; authorized translation with an introd. by George H. Sabine and Walter J. Shepard.,D. Appleton 1922,nyu,1922,umn.319510026715258
"Burney, Sarah Harriet",Traits of nature,London;Printed for H.Colb,uk,1812,njp.32101066755057
"Train, Arthur Cheney",Old man Tutt,New York|C. Scribner's so,us,1938,mdp.39015014743358
"Pate, Alexs D.,",Losing Absalom : | a novel / | $c: by Alexs D. Pate.,Minneapolis|Coffee House Press|1994.,mnu,1994,mdp.39015032428420
"Bell, Eric Temple,",The time stream / | $c: by John Taine [i.e. E. T. Bell].,"New York|Garland Pub.|1975, c1946.",nyu,1946,mdp.39015065929328
"Ewing, Cortez Arthur Milton, 1896-1962.","Presidential elections from Abraham Lincoln to Franklin D. Roosevelt, by Cortez A.M. Ewing.","University of Oklahoma press, 1940.",oku,1940,mdp.39015002132515
"MacDonald, George,",The gifts of the child Christ; | fairytales and stories for the childlike. | $c: Edited by Glenn Edward Sadler.,"Grand Rapids, Mich.|W. B. Eerdmans Pub. Co.|1973",miu,1973,uc1.b4087803
"Somerville, E. ≈í. (Edith ≈ínone),",The Hitchcock edition of Somerville and Ross.,New York|Derrydale Press|1927.,nyu,1927,wu.89052490638
"Palmer, Frederick",The old blood,New York;A.L. Burt Co.;19,us,1916,uc2.ark+=13960=t1ng4gw8m
"Bowen, Elizabeth,","Ivy gripped the steps, | and other stories, | $c: by Elizabeth Bowen.",New York|A. A. Knopf|1948.,nyu,1948,mdp.39015011543694
"Post, Chandler Rathfon, 1881-1959.","A history of European and American sculpture from the early Christian period to the present day, by Chandler Rathfon Post ...","Harvard University Press; [etc., etc.] 1921.",mau,1921,coo.31924020536847
"Israel, Charles E.","The hostages, | $c: by Charles E. Israel.",New York.|Simon and Schuster|1966,nyu,1966,uc1.b3347068
