author,title,imprint,nationality,inferreddate,htid
"Parker, Maude",Impersonation of a lady,Boston|New York|Houghton ,us,1934,mdp.39015063945649
"Ward, Mary Jane,",The tree has roots / | $c: by Mary Jane Ward.,New York|E. P. Dutton & co.|1937.,nyu,1937,uc1.$b105921
"Layzer, David.",Cosmogenesis : the growth of order in the universe / David Layzer.,"Oxford University Press, 1990.",nyu,1990,mdp.39015015452579
"Morris, Lloyd R., 1893-1954,","The young idea; an anthology of opinion concerning the spirit and aims of contemporary American literature,","Duffield and company, 1917.",nyu,1917,loc.ark:/13960/t1gj0ct7m
"Myers, L. H. (Leopold Hamilton),","The pool of Vishnu, | $c: by L. H. Myers.","New York|Harcourt, Brace and company|c1940",nyu,1940,uc1.$b787244
"Du Boisgobey, Fortun̩",The golden tress,"Philadelphia;Claxton, Rem",fr,1876,nyp.33433075818801
"Cobb, Sanford H. 1838-1910.",The rise of religious liberty in America; a history. With a new introd. by Paul L. Murphy.,"Johnson Reprint Corp., 1970.",nyu,1970,uc1.b5240370
"Nordau, Max Simon, 1849-1923.","The interpretation of history, by Max Nordau; translated from the German by H. A. Hamilton.","Moffat, Yard and company, 1911.",nyu,1911,coo1.ark:/13960/t3zs39g0c
"Whitney, Phyllis A.,",The stone bull / | $c: Phyllis A. Whitney.,"Garden City, N.Y.|Doubleday|1977.",nyu,1977,uc1.b4451287
"Sheen, Fulton J. 1895-1979.",Old errors and new labels.,"Garden City Pub. Co. [1950, c1931]",nyu,1950,uva.x001533396
"Brown, William, 1881-","Mind and personality ; an essay in psychology and philosophy, by William Brown.","G. P. Putnam's sons, 1927.",nyu,1927,mdp.39015002388760
"Cooley, Charles Horton, 1864-1929.",Social organization; a study of the larger mind.,"1914, c1909.",nyu,1909,coo.31924030248474
"Wheelis, Allen,",The way things are : | a novel / | $c: by Allen Wheelis.,Dallas|Baskerville Publishers|c1994.,txu,1994,mdp.39015033991525
"Pearce, Charles R.",Nurturing inquiry : real science for the elementary classroom / Charles R. Pearce ; foreword by Wendy Saul.,"Heinemann, c1999.",nhu,1999,mdp.39076002091788
,How the leopard gets its spots and other scientific insights : a collection of articles on how things happen / Scientific American.,"Scientific American, [1992]",nyu,1992,uva.x002251868
"Blanchard, Amy Ella",A daughter of freedom; a story of the latter period of the war for independence,Boston;Chicago;W. A. Wild,us,1900,njp.32101066164730
