bib_fmt,source,rights,source_bib_num,access_profile_code,imprint,htid,rights_date_used,ht_bib_key,author,rights_reason_code,pub_place,responsible_entity_code,digitization_agent_code,description,lccn,oclc_num,content_provider_code,collection_code,title
BK,MIEM,pd,b10971993,google,American Book Company [1903],msu.31293001706088,1903.0,100878421.0,"McCleary, James Thompson, 1853-1924.",bib,nyu,msu,google,,03021316,7803936,msu,MSU,"Studies in civics, by James T. McCleary."
BK,COO,pd,1487672,open,Govt. printing office. 1909.,coo1.ark:/13960/t4jm2vd30,1909.0,100764390.0,"Pan-American Scientific Congress. Santiago, Chile, 1908.",bib,dcu,cornell,cornell-ms,,,63923787,cornell,COO,"Report of the delegates of the United States to the Pan-American scientific congress held at Santiago, Chile, Dec. 25, 1908 to Jan. 5, 1909."
BK,NJP,pdus,9912975243506421,google,"MacMillan, 1908, c1907.",njp.32101061963615,1907.0,9042607.0,"Calkins, Mary Whiton, 1863-1930.",bib,nyu,princeton,google,,,10193016,princeton,NJP,The persistent problems of philosophy : an introduction to metaphysics through the study of modern systems / by Mary Whiton Calkins.
BK,IEN,pd,9927945004202441,open,"J. S. Collins, 1901.",ien.35556031198310,1901.0,7695928.0,"Mott, Edward Harold, 1845-1920.",bib,nyu,northwestern,northwestern,,01027743,3153320,northwestern,NWU,"Between the ocean and the lakes; the story of Erie,"
BK,NJP,pd,9914486133506421,google,"Brentano's, 1907.",njp.32101073360958,1907.0,9014275.0,"Root, Elihu, 1845-1937.",bib,nyu,princeton,google,,12017233,13485775,princeton,NJP,"How to preserve the local self-government of the states, a brief study of national tendencies; a speech delivered by Elihu Root at the dinner of the Pennsylvania Society in New York, Wednesday, December 12, 1906."
BK,MIU,pd,990019868240106381,google,"D. Appleton & company, 1908.",mdp.39015039630796,1908.0,1986824.0,"White, Andrew Dickson, 1832-1918.",bib,nyu,umich,google,v.1,,4850150,umich,MIU,"A history of the warfare of science with theology in christendom, by Andrew Dickson White ..."
BK,HVD,pd,990059042570203941,google,"Doubleday, Page & Co., 1907.",hvd.32044026013995,1907.0,100346485.0,"Washington, Booker T., 1856-1915",bib,nyu,harvard,google,,,33061399,harvard,HVD,Up from slavery : an autobiography / by Booker T. Washington.
BK,HVD,pd,990054490550203941,google,"Longmans, Green, and Co., 1909.",hvd.hn3tus,1909.0,100489456.0,"James, William, 1842-1910",bib,nyu,harvard,google,,,4758903,harvard,HVD,"Pragmatism; a new name for some old ways of thinking; popular lectures on philosophy, by William James."
BK,HVD,pd,990054931580203941,google,"G. P. Putnam's sons, 1901-1904.",hvd.hn3lkx,1904.0,1438587.0,"Johnston, Alexander, 1849-1889",bib,nyu,harvard,google,v.1,04013868,10004300,harvard,HVD,"American orations; studies in American political history, ed. with introductions by Alexander Johnston. Re-edited with historical and textual notes by James Albert Woodburn."
BK,LOC,pd,9620781,open,"State journal company, printers, 1906.",loc.ark:/13960/t0ht3w33d,1906.0,1382740.0,"Hinman, Edgar Lenderson.",bib,nbu,loc,ia,,08011783,20734961,loc,ILOC,The physics of idealism ...
BK,COO,pd,1463774,open,"Doubleday & McClure Co., 1900.",coo1.ark:/13960/t2r50605s,1900.0,7698753.0,"George, Henry, 1839-1897.",bib,nyu,cornell,cornell-ms,,17007154,8648803,cornell,COO,"Social problems, by Henry George ..."
BK,MIU,pd,990017486860106381,google,"Eldredge & brother, 1900.",mdp.39015062338051,1900.0,8653796.0,"Thorpe, Francis Newton, 1857-1926.",bib,pau,umich,google,,,28934747,umich,MIU,"The government of the nation. A course in civil government, based on ""The government of the people of the United States."" By Francis Newton Thorpe ..."
BK,NYP,pd,b126765133,google,"D. Appleton and company, 1891.",nyp.33433081734414,1901.0,8650220.0,"Eggleston, Edward, 1837-1902.",bib,nyu,nypl,google,,01015049,13259931,nypl,NYP,"The household history of the United States and its people, for young Americans,"
BK,HVD,pd,990033918310203941,google,"G.H. Ellis, 1907.",hvd.32044032120321,1907.0,100339404.0,"Storey, Moorfield, 1845-1929",bib,mau,harvard,google,,10001755,52339186,harvard,HVD,"Federal government and the states; address delivered at Norfolk, Va., on June 29, 1907, at the celebration of the adoption of the first Virginia constitution, by Moorfield Storey."
BK,UVA,pd,u1157978,google,"Publishing house of the M. E. church, South, Barbee & Smith, agents, 1901.",uva.x004614560,1901.0,9777093.0,"Tigert, Jno. J. 1856-1906.",bib,tnu,virginia,google,,07009536,6186337,virginia,UVA,"Theism; a survey of the paths that lead to God, chiefly in the light of the history of philosophy,"
BK,HVD,pd,990029642170203941,google,"Houghton, Mifflin and company [1902]",hvd.32044020442414,1902.0,1141187.0,"Fiske, John, 1842-1901.",bib,mau,harvard,google,,04007546,1690262,harvard,HVD,"Civil government in the United States, considered with some reference to its origins, by John Fiske."
BK,HVD,pd,990063958490203941,google,Houghton Mifflin [1908],hvd.hnfe52,1908.0,6612455.0,"Rand, Benjamin, 1856-1934.",bib,mau,harvard,google,,,813607,harvard,HVD,"Modern classical philosophers; selections illustrating modern philosophy from Bruno to Bergson, Compiled by Benjamin Rand."
BK,COO,pd,1414894,open,"J.B. Lippincott, 1907.",coo1.ark:/13960/t7tm7s09w,1907.0,6493444.0,"Lang, Andrew, 1844-1912.",bib,pau,cornell,cornell-ms,,,9870654,cornell,COO,"Poets' country / edited by Andrew Lang ; contributors: J. Churton Collins, E. Hartley Coleridge, W.J. Loftie, F.S.A., Michael Macmillan, Andrew Lang ; with fifty illustrations in colour by Francis S. Walker."
BK,LOC,pd,7731040,open,"Little, Brown, and Company, 1902.",loc.ark:/13960/t58d08x44,1902.0,9563306.0,"Frothingham, Richard, 1812-1880.",bib,mau,loc,ia,,04005471,3282311,loc,ILOC,"The rise of the republic of the United States, by Richard Frothingham."
BK,HVD,pd,990029699900203941,google,"D. Appleton, c1901.",hvd.32044097038749,1901.0,100395889.0,"Eggleston, Edward, 1837-1902",bib,nyu,harvard,google,,,4452832,harvard,HVD,The household history of the United States and its people : for young Americans / by Edward Eggleston.
