author,title,imprint,nationality,inferreddate,htid
"Pan-American Scientific Congress. Santiago, Chile, 1908.","Report of the delegates of the United States to the Pan-American scientific congress held at Santiago, Chile, Dec. 25, 1908 to Jan. 5, 1909.",Govt. printing office. 1909.,dcu,1909,coo1.ark:/13960/t4jm2vd30
"Calkins, Mary Whiton, 1863-1930.",The persistent problems of philosophy : an introduction to metaphysics through the study of modern systems / by Mary Whiton Calkins.,"MacMillan, 1908, c1907.",nyu,1907,njp.32101061963615
"Mott, Edward Harold, 1845-1920.","Between the ocean and the lakes; the story of Erie,","J. S. Collins, 1901.",nyu,1901,ien.35556031198310
"Root, Elihu, 1845-1937.","How to preserve the local self-government of the states, a brief study of national tendencies; a speech delivered by Elihu Root at the dinner of the Pennsylvania Society in New York, Wednesday, December 12, 1906.","Brentano's, 1907.",nyu,1907,njp.32101073360958
"White, Andrew Dickson, 1832-1918.","A history of the warfare of science with theology in christendom, by Andrew Dickson White ...","D. Appleton & company, 1908.",nyu,1908,mdp.39015039630796
"Washington, Booker T., 1856-1915",Up from slavery : an autobiography / by Booker T. Washington.,"Doubleday, Page & Co., 1907.",nyu,1907,hvd.32044026013995
"James, William, 1842-1910","Pragmatism; a new name for some old ways of thinking; popular lectures on philosophy, by William James.","Longmans, Green, and Co., 1909.",nyu,1909,hvd.hn3tus
"Johnston, Alexander, 1849-1889","American orations; studies in American political history, ed. with introductions by Alexander Johnston. Re-edited with historical and textual notes by James Albert Woodburn.","G. P. Putnam's sons, 1901-1904.",nyu,1904,hvd.hn3lkx
"Hinman, Edgar Lenderson.",The physics of idealism ...,"State journal company, printers, 1906.",nbu,1906,loc.ark:/13960/t0ht3w33d
"George, Henry, 1839-1897.","Social problems, by Henry George ...","Doubleday & McClure Co., 1900.",nyu,1900,coo1.ark:/13960/t2r50605s
"Thorpe, Francis Newton, 1857-1926.","The government of the nation. A course in civil government, based on ""The government of the people of the United States."" By Francis Newton Thorpe ...","Eldredge & brother, 1900.",pau,1900,mdp.39015062338051
"Eggleston, Edward, 1837-1902.","The household history of the United States and its people, for young Americans,","D. Appleton and company, 1891.",nyu,1901,nyp.33433081734414
"Storey, Moorfield, 1845-1929","Federal government and the states; address delivered at Norfolk, Va., on June 29, 1907, at the celebration of the adoption of the first Virginia constitution, by Moorfield Storey.","G.H. Ellis, 1907.",mau,1907,hvd.32044032120321
"Tigert, Jno. J. 1856-1906.","Theism; a survey of the paths that lead to God, chiefly in the light of the history of philosophy,","Publishing house of the M. E. church, South, Barbee & Smith, agents, 1901.",tnu,1901,uva.x004614560
"Fiske, John, 1842-1901.","Civil government in the United States, considered with some reference to its origins, by John Fiske.","Houghton, Mifflin and company [1902]",mau,1902,hvd.32044020442414
"Rand, Benjamin, 1856-1934.","Modern classical philosophers; selections illustrating modern philosophy from Bruno to Bergson, Compiled by Benjamin Rand.",Houghton Mifflin [1908],mau,1908,hvd.hnfe52
"Lang, Andrew, 1844-1912.","Poets' country / edited by Andrew Lang ; contributors: J. Churton Collins, E. Hartley Coleridge, W.J. Loftie, F.S.A., Michael Macmillan, Andrew Lang ; with fifty illustrations in colour by Francis S. Walker.","J.B. Lippincott, 1907.",pau,1907,coo1.ark:/13960/t7tm7s09w
"Frothingham, Richard, 1812-1880.","The rise of the republic of the United States, by Richard Frothingham.","Little, Brown, and Company, 1902.",mau,1902,loc.ark:/13960/t58d08x44
"Eggleston, Edward, 1837-1902",The household history of the United States and its people : for young Americans / by Edward Eggleston.,"D. Appleton, c1901.",nyu,1901,hvd.32044097038749
"Peck, Harry Thurston, 1856-1914.","Twenty years of the republic, 1885-1905 / by Harry Thurston Peck.","Dodd, Mead, 1926[1905-1906]",nyu,1905,iau.31858046675157
