htid,inferreddate,title,author,nationality,imprint
pst.000027630617,1959,Passage of arms,"Ambler, Eric",uk,"New York|Knopf|1967, [c19"
uc2.ark+=13960=t0sq8zn5q,1921,Peggy Ware,"Howard, M. W. (Milford Wriarson)",us,"Los Angeles, Cal.;Publish"
inu.30000000957484,1988,The last laugh and other stories,"Achebe, Chinelo",ni,Ibadan|Heinemann Educatio
mdp.39015000545643,1951,"The good Samaritan, a novel","Pettavel, John Paul",,Aldington|Kent|Hand and F
mdp.39015024076500,1958,The other side of the sky; | stories.,"Clarke, Arthur C. (Arthur Charles),",nyu,"New York|Harcourt, Brace|1958"
uc2.ark:/13960/fk8cf9jq1k,1905,"Miss Bellard's inspiration; a novel, by W.D. Howells ...","Howells, William Dean, 1837-1920.",nyu,"Harper & Brothers, 1905."
mdp.39015063945649,1934,Impersonation of a lady,"Parker, Maude",us,Boston|New York|Houghton 
uc1.b4104577,1891,Seven dreamers,"Slosson, Annie (Trumbull), Mrs",us,New York;Harper;c1890.
uc2.ark:/13960/t3tt4p68p,1913,The debit account. -,"Onions, Oliver, 1873-1961.",inu,"Nisbet, 1917."
uc1.$b103816,1947,The black laurel.,"Jameson, Storm,",nyu,New York|Macmillan Co.|1948.
pst.000046842596,1996,The case of the night-stalking bone monster / | $c: John R. Erickson ; illustrations by Gerald L. Holmes.,"Erickson, John R.,",xxu,"Houston, Tex.|Maverick Books|c1996."
mdp.39015040669601,1995,The instinct for bliss : | short stories / | $c: Melissa Pritchard.,"Pritchard, Melissa.",mau,"Cambridge, Mass.|Zoland Books|1995."
uc2.ark:/13960/t7tm76q79,1875,The Spanish cavalier : a story of Seville / by A. L. O. E.,"A. L. O. E., 1821-1893.",nyu,"T. Nelson and Sons, 1900."
mdp.39015037698258,1995,An experiment in love,"Mantel, Hilary",uk,London|Viking|New York|Pe
uc1.b3710884,1968,"Apples of paradise, | and other stories | $c: [by] Frederick Manfred.","Manfred, Frederick Feikema,",nyu,New York|Trident Press|1968
uc1.$b404059,1958,The Pistol.,"Jones, James,",nyu,New York|Charles Scribner's Sons|1958
uc1.$b56473,1942,"Shaken with the wind, | $c: by Miriam Allen DeFord.","DeFord, Miriam Allen,",nyu,"Garden City, N.Y.|Doubleday, Doran and company, inc.|1942."
mdp.39015009057087,1967,The collected stories of Andr� Maurois,"Maurois, Andr�",fr,Wash.|Square press|1967.
uc1.b3727846,1958,On a balcony,"Stacton, David",us,London|Faber and Faber|19
inu.30000114306446,1976,The Henderson equation,"Adler, Warren",us,New York|Putnam|c1976.
uc2.ark:/13960/t5x63pc6v,1485,Le morte Darthur: Sir Thomas Malory's book of King Arthur and of his noble knights of the Round table.,"Malory, Thomas, Sir, 15th cent.",mau,"Macmillan and co., limited; /The Macmillan company, 1903."
uc1.b4358736,1982,5 good boys,"Rutman, Leo",us,New York|Viking Press|198
coo.31924011969544,1886,"Allan Quatermain : | being an account of his further adventures and discoveries in company with Sir Henry Curtis, Bart., Commander John Good, R.N., and one Umslopogaas / | $c: by Rider Haggard ; with twenty ill. by Charles H. M. Kerr and a port.","Haggard, H. Rider (Henry Rider),",cau,"North Hollywood, Calif.|Newcastle Pub. Co.|1978."
nyp.33433081587580,1905,Mrs. Galer's business,"Ridge, W. Pett (William Pett)",uk,London;Methuen;1905.
uc1.b4437895,1957,The lady / | $c: by Conrad Richter.,"Richter, Conrad,",nbu,"Lincoln|University of Nebraska Press|1984], c1957."
uc1.$b286513,1965,The beckoning shore,"Timms, Edward Vivian",au,Sydney|Angus and Robertso
pst.000022698933,1948,The flames of time,"Kendrick, Baynard Hardwick",us,"Garden City, N.Y.|Sun Dia"
uc2.ark:/13960/t26971n59,1911,Trying out Torchy. Illus. by Foster Lincoln.,"Ford, Sewell, 1868-1946.",mau,"Grosset & Dunlap, [c1912]"
uc1.b4091147,1965,Sarkhan | $c: [by] William J. Lederer and Eugene Burdick.,"Lederer, William J.,",nyu,New York|McGraw-Hill|1965
mdp.39015030699808,1955,The day of the monkey.,"Karp, David,",nyu,New York|Vanguard Press|1955
uc1.$b105795,1947,Something wonderful to happen : a charivari,"Teilhet, Darwin L. (Darwin Le Ora)",us,New York|London|D. Applet
mdp.39015049629069,1982,Further tales of the city / | $c: Armistead Maupin.,"Maupin, Armistead.",nyu,"New York|Perennial Library|1989, c1982."
mdp.39015063947637,1935,"The Grindle nightmare, | $c: by Q. Patrick.","Patrick, Q.",nyu,"New York|The Hartney press, inc.|1935."
mdp.39015000647191,1973,Small changes.,"Piercy, Marge.",nyu,"Garden City, N.Y.|Doubleday|1973."
uc1.$b312763,1932,"The strange adventures of Jonathan Drew, | a rolling stone, during his travels through Massachusetts, Connecticut, Rhode Island, New York, Pennsylvania, Virginia, Ohio, Indiana, Illinois, Missouri & Kentucky in the years 1821-24; together with some account of the people he met, the things they did and said, the songs they sang and the roads they travelled, | $c: as taken down by Christopher Ward, esq. ...","Ward, Christopher,",nyu,"New York|Simon and Schuster, inc.|1932."
uc1.b4450980,1985,Flowers from Berlin / | $c: by Noel Hynd.,"Hynd, Noel.",nyu,"Garden City, N.Y.|Dial Press|1985."
uc2.ark:/13960/t22b8vm6r,1891,"Gallegher, and other stories, with an introduction by E. L. Burlingame.","Davis, Richard Harding, 1864-1916.",nyu,"C. Scribner's sons, 1917, c1916."
mdp.39015016454582,1964,"The people one knows, a novel","Boles, Robert",us,Boston|Houghton Mifflin|1
uc2.ark+=13960=t1qf91q47,1822,Graham Hamilton,"Lamb, Caroline",,London;Henry Colburn;1822
mdp.39015000540891,1958,"The picnic, and other stories","Pacey, Desmond",ca,Toronto|Ryerson Press|195
mdp.39015060795153,1997,The lizard and the fly / | $c: Robert Edward Levin.,"Levin, Robert Edward.",cau,"Sacramento, CA|Voyage Books|c1997."
uc1.b3710789,1959,Campus on the river.,"O'Connor, William Van,",nyu,New York|Crowell|1959
uc1.$b15215,1938,Road to safety;,"Buckley, Horace Mann",,New York|American Book Co
mdp.39015059413396,1939,Frost flower | $c: [by] Helen Hull.,"Hull, Helen R. (Helen Rose),",nyu,"New York|Coward-McCann, inc.|c1939"
uc2.ark:/13960/t7cr5q352,1912,"Old Irish life, by J.M. Callwell.","Callwell, J. M.",nyu,"W. Blackwood, 1912."
mdp.39015061469535,1991,The manhood of Benjie Lasser / | $c: Harvey Malcolm Rosen.,"Rosen, Harvey Malcolm,",nyu,New York|Vantage Press|c1991.
mdp.39015048706066,1975,Andy Jessup : | a novel / | $c: Winston M. Estes.,"Estes, Winston M.,",pau,Philadelphia|Lippincott|1975
mdp.39015000551575,1956,"Minnesota Gothic, a novel","O'Meara, Walter",us,New York|Holt|1956
yale.39002009581225,1915,"The founding of a nation : the story of the Pilgrim fathers, their voyage on the Mayflower, their early struggles, hardships and dangers, and the beginnings of American democracy, as told in the journals of Francis Beaumont, cavalier / by Frank M. Gregg...","Gregg, Frank M. 1864-1937",nyu,"The Arthur H. Clark company, 1915."
mdp.39015030073806,1933,In God's land,"Andersen Nexø, Martin",da,New York|P. Smith|1933.
mdp.39076002196686,1948,Young King David,"King, Marian",us,Philadelphia|J.B. Lippinc
uc1.b4098618,1947,Great men of medicine.,"Hume, Ruth Fox,",nyu,New York|Random House|1947
uc2.ark:/13960/t0ks6km2b,1905,Cinq Mars; with a pref by Charles de Mazade.,"Vigny, Alfred de, 1797-1863.",nyu,"Current Literature Pub. Co., 1910."
nyp.33433076082019,1897,"In the region of Boris, a tale of Carpathia","Macdonald, Robert",us,New York;F.A. Munsey;1897
mdp.39015061142009,1994,Sea-cursed : thirty terrifying tales of the deep,,,New York|Barnes & Noble|c
mdp.39015014743358,1938,Old man Tutt,"Train, Arthur Cheney",us,New York|C. Scribner's so
uc1.32106015584854,1996,The knowledge of water,"Smith, Sarah",us,New York|Ballantine Books
osu.32435056657976,1911,Dawn of the morning / | $c: by Grace Livingston Hill.,"Hill, Grace Livingston,",nyu,New York|Grosset & Dunlap|c1939.
uc2.ark:/13960/t9959jk0f,1915,"The lion's share, by Arnold Bennett ...","Bennett, Arnold, 1867-1931.",inu,"George H. Doran Company, [c1916]"
mdp.39015071555471,1922,Rolling acres,"Hoover, Bessie Ray",,"Boston;Small, Maynard & c"
mdp.39015069746777,1976,Chicken trainer,"Jennings, Lyle",,"Santee, Calif.|Surree Ltd"
mdp.39015030743572,1978,Where the cherries end up,"Henley, Gail",,"Boston|Little, Brown|c197"
mdp.39015063918554,1925,"Mrs. Mason's daughters, | $c: by Mathilde Eiker.","Eiker, Mathilde,",nyu,New York|The Macmillan company|1925.
uc1.b3435562,1968,"The expedition; | a novel, | $c: by Stanley Wolpert.","Wolpert, Stanley A.,",mau,"Boston|Little, Brown|1968"
uc1.b3710795,1957,Remember me to God.,"Kaufmann, Myron S.,",pau,Philadelphia|Lippincott|1957
mdp.39015050141590,1966,Coping,,,New York|Macmillan|c1966.
uc2.ark:/13960/t3416t83f,1898,"The lion and the unicorn, by Richard Harding Davis; illustrated by Howard Chandler Christy.","Davis, Richard Harding, 1864-1916.",mau,"C. Scribner's sons, 1903."
pst.000009221963,1924,"The Apocrypha : translated out of the Greek and Latin tongues; being the version set forth A.D. 1611, compared with the most ancient authorities and revised A.D. 1894",,,London|Milford|1924.
uiuo.ark+=13960=t8ff4942h,1855,Display,Maberly,ir,London;Hurst and Blackett
mdp.39015018916802,1990,Wondermonger / | $c: Michael Rothschild.,"Rothschild, Michael,",nyu,New York|Viking|1990.
uc1.$b56750,1937,Highland river,"Gunn, Neil Miller",uk,Philadelphia|London|J. B.
mdp.39015046831361,1982,The Mosquito Coast : a novel,"Theroux, Paul",us,Boston|Houghton Mifflin|1
inu.32000009261480,1921,Complete works / | $c: Joseph Conrad.,"Conrad, Joseph,",nyu,"Garden City, N.Y.|Doubleday, Page & Co.|1925."
uc1.b4447001,1985,Looking for Bobby : | a novel / | $c: Gloria Norris.,"Norris, Gloria.",nyu,New York|Knopf|1985.
uc1.$b106136,1955,"Your daughter Iris, a novel","Weidman, Jerome",us,"Garden City, N. Y.|Double"
uc2.ark:/13960/t9b56g18g,1904,Terence O'Rourke : gentleman adventurer / by Louis Joseph Vance.,"Vance, Louis Joseph, 1879-1933.",nyu,"Bobbs-Merrill, 1907."
njp.32101076479813,1911,Ro,"Verne, Jules",fr,New York;V. Parke;c1911.
uc1.$b85950,1923,Riceyman Steps.,"Bennett, Arnold,",nyu,New York|G.H. Doran Co.|c1923
uc1.$b136780,1948,Stokers' mess;,"Skouen, Arne",no,New York|A. A. Knopf|1948
